*unit,GtC/yr,GtC/yr,MtCH4/yr,MtCH4/yr,MtN2O-N/yr,MtN2O-N/yr,MtS/yr,MtS/yr,MtCO/yr,MtCO/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,Mt/yr,Mt/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
year,co2i,co2l,ch4i,ch4l,n2oi,n2ol,so2i,so2l,coi,col,voci,vocl,noxi,noxl,bci,bcl,oci,ocl,nh3i,nh3l,hfc125,hfc134a,hfc143a,hfc227ea,hfc23,hfc245fa,hfc32,hfc4310mee,hfc152a,hfc236fa,hfc365mfc,hfc134,hfc143,hfc41,nf3,cf4,c3f8,cc4f8,c4f10,c5f12,cfc11,cfc12,cfc113,cfc114,cfc115,ccl4,ch3ccl3,hcfc22,hcfc141b,hcfc142b,halon1211,halon1202,halon1301,halon2402,ch3br,ch3cl
1883,0.259207149990788,0.680774929065708,78.4993809202958,11.6208719650652,0.730191440669731,0.320855995641059,5.28897821436889,1.03645585283205,392.26761434033,282.23316132828,63.0062441909715,49.1092391666443,9.94526599269147,9.13652959907106,3.04009017493089,1.65459877609468,20.017822918149,14.5408210576459,9.05411271256268,3.52491730847879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926616034431516,0,0,0,0,0,0,0,0,0,4.043,0,0,0,0,0,0,0,0,157.267,3100.211
1884,0.263012128177615,0.683984304282828,79.9784109566988,11.7846665227115,0.743913403817397,0.33189697540324,5.43278852295243,1.0536122370293,397.891440700421,287.255316806395,63.9839540969488,49.9820026037364,10.2776533015965,9.45023303976084,3.09015769285159,1.68663121959559,20.2303968910349,14.7287696001776,9.14131884700023,3.56098989585023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926680504972152,0,0,0,0,0,0,0,0,0,4.233,0,0,0,0,0,0,0,0,157.267,3100.211
1885,0.266304188141175,0.690147904684314,81.3729936395996,11.8640137268558,0.74222379609067,0.327443677592398,5.5424615449012,1.05882381736475,399.606727987928,288.44753973188,64.3135550763202,50.2208998024196,10.2433650617097,9.39671813527266,3.11017930021386,1.69065675970294,20.3889415411987,14.8656889956043,9.22533606731311,3.5936076084308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926745154349232,0,0,0,0,0,0,0,0,0,4.427,0,0,0,0,0,0,0,0,157.267,3100.211
1886,0.271611261565775,0.691194614128554,82.6319304675619,11.8077150760615,0.7492019147996,0.332178882818491,5.64524890396682,1.0533534151057,399.241594279372,287.446691846474,64.2164276726785,50.0071064597707,10.3015258387432,9.42626576389254,3.13061514076379,1.68760256690092,20.2953630080837,14.7438309119111,9.25312384174964,3.5696655389099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092680953547164,0,0,0,0,0,0,0,0,0,4.625,0,0,0,0,0,0,0,0,157.267,3100.211
1887,0.286170934978514,0.691107893108412,84.0766052299636,11.9371543597066,0.753458612842513,0.334324305513445,5.85630210532399,1.06512912281158,403.495866711391,290.669999701377,64.9320787134447,50.5831225179201,10.4564316158453,9.5481835177878,3.17786666704132,1.70627690784379,20.5126452638005,14.9244014025974,9.34533459658397,3.60978512176962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926873916594048,0,0,0,0,0,0,0,0,0,4.827,0,0,0,0,0,0,0,0,157.267,3100.211
1888,0.317848935009802,0.690668856638742,85.5922726270679,12.1375862780543,0.76630634283563,0.344255350054916,6.26883802426514,1.08282056471691,409.965189275119,295.333246440096,65.999289378731,51.4578804668043,10.6335059138634,9.67841053145526,3.24386396137429,1.73029760317926,20.8490826470923,15.2007042262892,9.46569404950323,3.67473744007352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926938297716456,0,0,0,0,0,0,0,0,0,5.033,0,0,0,0,0,0,0,0,157.267,3100.211
1889,0.316628405729689,0.690169288697244,86.7349891187425,11.9650672909723,0.769077488256155,0.344425100792575,6.33037897330903,1.07202441146682,406.894999087363,291.789671703736,65.5092700261399,50.8492512955256,10.5854803096231,9.61099751632242,3.2401346648681,1.70980420045134,20.6520161373404,14.9872341985345,9.45922960553374,3.61399508373544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927002768257086,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0,0,0,157.267,3100.211
1890,0.345185883266029,0.686791409090202,88.157694493781,12.0725371872542,0.788812868357792,0.345981010375763,6.71986985889923,1.07984227582596,411.14042069191,294.149607753761,66.1624703095547,51.2748205458709,10.693569017709,9.67210832622072,3.29388729254679,1.72212515622609,20.8497808558562,15.1266810028172,9.54995231590286,3.64805829308952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092706732821595,0,0,0,0,0,0,0,0,0,5.485,0,0,0,0,0,0,0,0,157.267,3100.211
1891,0.36143040799757,0.683382500531538,88.980576774347,11.7800641092764,0.77975281345645,0.330363100882288,7.00205097444542,1.05383969854924,405.673154423201,287.25389457276,65.0641162367759,49.9687242393638,10.5252269660594,9.46495900935294,3.28247994816731,1.68716923349074,20.482135401245,14.7287225848676,9.53623493066911,3.55901345095472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927152901457812,0,0,0,0,0,0,0,0,0,5.731,0,0,0,0,0,0,0,0,157.267,3100.211
1892,0.365542637050298,0.697886901391638,89.9494515626446,11.6335835390308,0.782176301141975,0.325550501620479,7.18851173641075,1.04220756154705,403.077014807451,283.790983553393,64.5609988170977,49.3350749623388,10.422086170754,9.34381165021872,3.28147128545117,1.66862691259766,20.318765545291,14.5459481775845,9.5698817953036,3.51756647734582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927238385281452,0,0,0,0,0,0,0,0,0,6.01000000000002,0,0,0,0,0,0,0,0,157.267,3100.211
