year,ssp1,ssp2,ssp3,ssp4,ssp5
2001,78.92303779,69.80483024,76.28399762,64.74754434,67.26192521
2002,81.71460797,72.27345265,78.98177369,67.03736578,69.64064208
2003,84.60361189,74.82870294,81.77421939,69.40776537,72.10271124
2004,87.59494719,77.47451981,84.66549331,71.86187497,74.65245373
2005,86.48335912,76.49131655,83.59116336,70.94973937,73.7049863
2006,89.66835579,79.33858645,86.66454398,73.47553289,76.32798754
2007,92.85071293,82.18321749,89.73555075,75.99885745,78.94889269
2008,96.03000965,85.02537287,92.80348589,78.52007063,81.56754719
2009,99.20604099,87.86415059,95.86782834,81.03831144,84.18307658
2010,102.3779824,90.69976849,98.9290774,83.55411431,86.79566666
2011,107.7125691,95.42879929,103.9199972,87.68878411,91.34613247
2012,113.0388787,100.1505667,108.9030664,91.81712816,95.88928805
2013,118.3558403,104.8640071,113.8777617,95.93803477,100.4248311
2014,123.6632804,109.5691926,118.8435801,100.0517924,104.9521121
2015,128.961703,114.2661133,123.8006568,104.1589679,109.4717295
2016,134.2515647,118.9558691,128.7502053,108.2595743,113.9839001
2017,139.5338125,123.6386234,133.6925459,112.3540505,118.489339
2018,144.8083241,128.3140256,138.6280017,116.4421824,122.9886105
2019,150.0746026,132.9827815,143.5556261,120.5252035,127.4808027
2020,156.6909837,138.8479205,149.7729061,125.6888382,133.119506
2021,164.9406756,144.7376532,154.8257772,130.8667351,141.4110986
2022,173.1819231,150.6220828,159.8755201,136.0402607,149.6943539
2023,181.4141686,156.5011543,164.9220234,141.2092524,157.9682809
2024,189.6372655,162.37501,169.9653749,146.3737681,166.2324241
2025,197.8513671,168.2439306,175.005786,151.5340092,174.4867383
2026,206.0569309,174.1083287,180.0435762,156.6903093,182.7315509
2027,214.2546286,179.9685922,185.0790018,161.8430027,190.9674134
2028,222.4450555,185.8250326,190.1122446,166.9923588,199.1948655
2029,230.6286455,191.6778602,195.1433977,172.1385546,207.4143463
2030,238.8058288,197.5272939,200.1725705,177.2817749,215.6263143
2031,249.1654597,203.5237469,203.8304653,182.4695887,227.5895705
2032,259.5149533,209.5167404,207.4894566,187.6546061,239.5386531
2033,269.8546837,215.5063058,211.1492474,192.8368884,251.473659
2034,280.184866,221.4923607,214.8094694,198.0163826,263.3947189
