year,ssp1,ssp2,ssp3,ssp4,ssp5
2241,6000.597876,8000.655351,13998.96543,9000.187578,7000.276614
2242,6000.567981,8000.622582,13999.01716,9000.178199,7000.262783
2243,6000.539581,8000.591452,13999.0663,9000.169289,7000.249644
2244,6000.512601,8000.561878,13999.11298,9000.160824,7000.237162
2245,6000.48697,8000.533783,13999.15733,9000.152783,7000.225303
2246,6000.46262,8000.507093,13999.19946,9000.145144,7000.214038
2247,6000.439488,8000.481738,13999.23949,9000.137887,7000.203336
2248,6000.417513,8000.45765,13999.27751,9000.130992,7000.193169
2249,6000.396637,8000.434767,13999.31364,9000.124443,7000.18351
2250,6000.376804,8000.413028,13999.34795,9000.11822,7000.174335
2251,6000.357964,8000.392376,13999.38056,9000.112309,7000.165618
2252,6000.340065,8000.372757,13999.41153,9000.106694,7000.157337
2253,6000.323061,8000.354119,13999.44095,9000.101359,7000.14947
2254,6000.306908,8000.336412,13999.4689,9000.096291,7000.141996
2255,6000.291562,8000.319591,13999.49546,9000.091477,7000.134897
2256,6000.276983,8000.303612,13999.52068,9000.086903,7000.128152
2257,6000.263134,8000.288431,13999.54465,9000.082558,7000.121744
2258,6000.249977,8000.274009,13999.56742,9000.07843,7000.115657
2259,6000.237478,8000.260308,13999.58905,9000.074508,7000.109874
2260,6000.225604,8000.247293,13999.60959,9000.070783,7000.10438
2261,6000.214323,8000.234928,13999.62911,9000.067244,7000.099161
2262,6000.203607,8000.223181,13999.64766,9000.063881,7000.094203
2263,6000.193427,8000.212022,13999.66527,9000.060687,7000.089493
2264,6000.183755,8000.201421,13999.68201,9000.057653,7000.085018
2265,6000.174567,8000.19135,13999.69791,9000.05477,7000.080767
2266,6000.165839,8000.181782,13999.71301,9000.052032,7000.076729
2267,6000.157547,8000.172693,13999.72736,9000.04943,7000.072892
2268,6000.149669,8000.164058,13999.74099,9000.046959,7000.069248
2269,6000.142186,8000.155855,13999.75394,9000.044611,7000.065785
2270,6000.135076,8000.148062,13999.76625,9000.04238,7000.062496
2271,6000.128322,8000.140659,13999.77793,9000.040261,7000.059371
2272,6000.121906,8000.133626,13999.78904,9000.038248,7000.056403
2273,6000.115811,8000.126945,13999.79959,9000.036336,7000.053583
2274,6000.11002,8000.120597,13999.80961,9000.034519,7000.050903
2275,6000.104519,8000.114568,13999.81913,9000.032793,7000.048358
2276,6000.099293,8000.108839,13999.82817,9000.031153,7000.04594
2277,6000.094329,8000.103397,13999.83676,9000.029596,7000.043643
2278,6000.089612,8000.098227,13999.84492,9000.028116,7000.041461
2279,6000.085131,8000.093316,13999.85268,9000.02671,7000.039388
2280,6000.080875,8000.08865,13999.86004,9000.025375,7000.037419
2281,6000.076831,8000.084218,13999.86704,9000.024106,7000.035548
2282,6000.072989,8000.080007,13999.87369,9000.022901,7000.03377
2283,6000.06934,8000.076006,13999.88,9000.021756,7000.032082
2284,6000.065873,8000.072206,13999.886,9000.020668,7000.030478
2285,6000.062579,8000.068596,13999.8917,9000.019634,7000.028954
2286,6000.05945,8000.065166,13999.89712,9000.018653,7000.027506
2287,6000.056478,8000.061908,13999.90226,9000.01772,7000.026131
2288,6000.053654,8000.058812,13999.90715,9000.016834,7000.024824
2289,6000.050971,8000.055872,13999.91179,9000.015992,7000.023583
2290,6000.048423,8000.053078,13999.9162,9000.015193,7000.022404
2291,6000.046001,8000.050424,13999.92039,9000.014433,7000.021284
2292,6000.043701,8000.047903,13999.92437,9000.013711,7000.02022
2293,6000.041516,8000.045508,13999.92815,9000.013026,7000.019209
2294,6000.03944,8000.043232,13999.93175,9000.012375,7000.018248
2295,6000.037468,8000.041071,13999.93516,9000.011756,7000.017336
2296,6000.035595,8000.039017,13999.9384,9000.011168,7000.016469
2297,6000.033815,8000.037066,13999.94148,9000.01061,7000.015645
2298,6000.032125,8000.035213,13999.94441,9000.010079,7000.014863
2299,6000.030518,8000.033452,13999.94719,9000.009575,7000.01412
2300,6000.028992,8000.03178,13999.94983,9000.009096,7000.013414
2301,6000.027543,8000.030191,13999.95234,9000.008642,7000.012743
