year,ssp1,ssp2,ssp3,ssp4,ssp5
2107,24.5532,18.8136,8.90688,13.1553,35.1733
2108,24.7641,19.0265,8.91865,13.2344,35.5581
2109,24.9729,19.2374,8.92997,13.3123,35.9391
2110,25.1794,19.4462,8.94088,13.3889,36.3161
2111,25.3836,19.6529,8.95143,13.4643,36.6893
2112,25.5855,19.8574,8.96164,13.5385,37.0584
2113,25.7848,20.0598,8.97156,13.6114,37.4235
2114,25.9818,20.2599,8.9812,13.6833,37.7846
2115,26.1761,20.4578,8.9906,13.7539,38.1416
2116,26.368,20.6535,8.99977,13.8234,38.4945
2117,26.5572,20.8468,9.00873,13.8918,38.8432
2118,26.7439,21.0379,9.0175,13.9591,39.1879
2119,26.9279,21.2266,9.0261,14.0252,39.5284
2120,27.1093,21.413,9.03453,14.0903,39.8647
2121,27.2881,21.5971,9.0428,14.1543,40.1969
2122,27.4643,21.7788,9.05094,14.2173,40.5249
2123,27.6379,21.9582,9.05893,14.2792,40.8487
2124,27.8088,22.1352,9.0668,14.34,41.1684
2125,27.9771,22.3099,9.07455,14.3999,41.4839
2126,28.1429,22.4823,9.08218,14.4587,41.7953
2127,28.306,22.6524,9.08969,14.5166,42.1026
2128,28.4666,22.8201,9.0971,14.5735,42.4057
2129,28.6247,22.9855,9.1044,14.6294,42.7047
2130,28.7802,23.1486,9.1116,14.6844,42.9996
2131,28.9332,23.3094,9.1187,14.7385,43.2904
2132,29.0838,23.4679,9.12571,14.7916,43.5772
2133,29.2319,23.6241,9.13262,14.8438,43.86
2134,29.3775,23.7781,9.13943,14.8952,44.1387
2135,29.5208,23.9298,9.14616,14.9456,44.4135
2136,29.6617,24.0793,9.15279,14.9952,44.6842
2137,29.8002,24.2266,9.15934,15.0439,44.9511
2138,29.9365,24.3717,9.16579,15.0918,45.214
2139,30.0704,24.5146,9.17216,15.1388,45.4731
2140,30.202,24.6553,9.17845,15.185,45.7283
2141,30.3315,24.7939,9.18465,15.2305,45.9797
2142,30.4587,24.9304,9.19076,15.2751,46.2273
2143,30.5837,25.0648,9.19679,15.3189,46.4711
2144,30.7066,25.1971,9.20273,15.362,46.7113
2145,30.8274,25.3273,9.2086,15.4043,46.9477
2146,30.9461,25.4555,9.21438,15.4458,47.1805
2147,31.0627,25.5817,9.22008,15.4867,47.4097
2148,31.1773,25.7058,9.2257,15.5268,47.6353
2149,31.2899,25.828,9.23123,15.5661,47.8573
2150,31.4005,25.9482,9.23669,15.6048,48.0759
2151,31.5091,26.0665,9.24207,15.6428,48.291
2152,31.6159,26.1829,9.24737,15.6801,48.5026
2153,31.7208,26.2974,9.25259,15.7168,48.7109
2154,31.8238,26.41,9.25773,15.7528,48.9158
2155,31.925,26.5207,9.2628,15.7881,49.1174
2156,32.0244,26.6297,9.26779,15.8228,49.3157
2157,32.122,26.7368,9.2727,15.8568,49.5108
2158,32.2179,26.8422,9.27753,15.8903,49.7027
2159,32.312,26.9458,9.2823,15.9231,49.8914
2160,32.4045,27.0477,9.28698,15.9554,50.077
2161,32.4953,27.1479,9.2916,15.9871,50.2596
2162,32.5844,27.2463,9.29614,16.0181,50.439
2163,32.672,27.3432,9.30061,16.0487,50.6155
2164,32.758,27.4383,9.30501,16.0786,50.7891
2165,32.8424,27.5319,9.30933,16.108,50.9597
2166,32.9253,27.6239,9.31359,16.1369,51.1274
