"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2129,74.7362204608,73.2107789028,22.7607829267,42.4218492838,179.6225355298
2130,75.0972077107,74.1499858902,22.9398723067,42.7205330704,182.0337938316
2131,75.44889126,75.0914841623,23.121052347,43.017427997,184.4456652504
2132,75.7915024069,76.0352733834,23.3043035721,43.3125322794,186.8578505886
2133,76.1252679675,76.98135147,23.4896077901,43.6058442112,189.2700530831
2134,76.4504102337,77.9297146059,23.6769480323,43.8973621718,191.6819784852
2135,76.7671469453,78.8803572609,23.8663084967,44.1870846342,194.0933351403
2136,77.075691275,79.8332722111,24.0576744935,44.4750101722,196.5038340666
2137,77.3762518268,80.7884505636,24.2510323948,44.7611374676,198.9131890328
2138,77.6690326437,81.745881782,24.446369586,45.0454653164,201.321116635
2139,77.9542332267,82.705553715,24.6436744203,45.3279926358,203.7273363717
2140,78.2320485611,83.6674526258,24.842936175,45.6087184694,206.1315707173
2141,78.5026691516,84.6315632239,25.0441450109,45.8876419932,208.5335451944
2142,78.7662810638,85.5978686979,25.2472919332,46.1647625209,210.9329884432
2143,79.0230659718,86.5663507499,25.4523687541,46.4400795083,213.3296322901
2144,79.2732012113,87.53698963,25.6593680581,46.7135925585,215.7232118136
2145,79.5168598368,88.5097641728,25.8682831683,46.9853014254,218.1134654076
2146,79.7542106839,89.484651834,26.0791081149,47.2552060183,220.5001348433
2147,79.9854184338,90.4616287274,26.2918376048,47.5233064049,222.8829653277
2148,80.2106436817,91.440669663,26.506466993,47.7896028149,225.2617055609
2149,80.430043007,92.4217481847,26.7229922553,48.0540956427,227.6361077891
2150,80.6437690463,93.404836609,26.9414099621,48.3167854503,230.0059278572
2151,80.8519705666,94.3899060632,27.1617172539,48.5776729691,232.3709252565
2152,81.0547925419,95.3769265241,27.3839118175,48.8367591026,234.7308631715
2153,81.2523762285,96.3658668564,27.6079918634,49.0940449279,237.0855085232
2154,81.4448592428,97.3566948511,27.8339561048,49.349531697,239.4346320097
2155,81.6323756383,98.3493772642,28.0618037368,49.6032208384,241.7780081442
2156,81.8150559833,99.343879854,28.2915344169,49.8551139578,244.1154152904
2157,81.9930274386,100.3401674198,28.5231482466,50.1052128391,246.4466356946
2158,82.1664138348,101.3382038386,28.7566457535,50.3535194445,248.771455516
2159,82.3353357492,102.3379521028,28.9920278746,50.6000359154,251.0896648531
2160,82.4999105818,103.3393743567,29.2292959397,50.8447645719,253.4010577685
2161,82.660252632,104.3424319328,29.4684516565,51.087707913,255.7054323102
2162,82.8164731723,105.3470853878,29.7094970955,51.328868616,258.0025905306
2163,82.9686805232,106.353294538,29.9524346759,51.5682495363,260.2923385029
2164,83.116980126,107.3610184939,30.1972671524,51.8058537062,262.5744863346
2165,83.2614746146,108.3702156948,30.4439976022,52.0416843346,264.8488481786
2166,83.4022638864,109.3808439426,30.6926294125,52.2757448054,267.1152422419
2167,83.5394451721,110.3928604347,30.9431662693,52.5080386766,269.3734907915
2168,83.673113104,111.4062217972,31.1956121455,52.7385696789,271.6234201582
2169,83.8033597833,112.4208841164,31.4499712908,52.9673417139,273.8648607377
2170,83.9302748459,113.4368029707,31.7062482208,53.194358853,276.0976469894
2171,84.0539455268,114.4539334609,31.9644477079,53.419625335,278.3216174332
2172,84.1744567237,115.4722302412,32.2245747711,53.6431455646,280.5366146434
2173,84.2918910584,116.4916475482,32.4866346678,53.8649241104,282.7424852414
2174,84.4063289377,117.5121392301,32.7506328844,54.0849657024,284.9390798853
2175,84.5178486125,118.5336587754,33.0165751288,54.3032752304,287.1262532578
2176,84.6265262352,119.55615934,33.284467322,54.5198577409,289.3038640525
2177,84.7324359167,120.579593775,33.554315591,54.7347184354,291.4717749575
2178,84.8356497812,121.6039146528,33.8261262612,54.9478626677,293.6298526374
2179,84.93623802,122.6290742932,34.0999058494,55.1592959412,295.777967714
2180,85.0342689436,123.6550247887,34.3756610579,55.3690239064,297.9159947444
2181,85.1298090336,124.681718029,34.6533987672,55.577052358,300.0438121978
2182,85.2229229919,125.7091057255,34.9331260307,55.7833872326,302.1613024307
2183,85.3136737893,126.737139434,35.2148500684,55.9880346054,304.2683516603
2184,85.4021227131,127.7657705786,35.4985782618,56.191000688,306.3648499367
2185,85.488329413,128.7949504732,35.7843181481,56.3922918245,308.4506911132
2186,85.5723519457,129.8246303433,36.0720774152,56.5919144897,310.5257728159
2187,85.6542468192,130.8547613477,36.3618638971,56.7898752853,312.5899964108
2188,85.7340690346,131.8852945984,36.6536855689,56.9861809375,314.643266971
2189,85.8118721279,132.9161811809,36.9475505426,57.1808382934,316.6854932418
2190,85.8877082102,133.9473721737,37.2434670623,57.3738543186,318.7165876048
2191,85.9616280065,134.9788186671,37.5414435006,57.5652360935,320.7364660409
2192,86.0336808943,136.0104717816,37.8414883545,57.7549908108,322.7450480927
2193,86.1039149399,137.0422826856,38.1436102415,57.9431257722,324.7422568251
2194,86.1723769354,138.074202613,38.4478178959,58.1296483852,326.7280187858
2195,86.2391124327,139.1061828797,38.7541201656,58.3145661602,328.7022639643
2196,86.3041657781,140.1381749002,39.0625260086,58.4978867072,330.6649257504
2197,86.3675801454,141.1701302032,39.3730444898,58.6796177332,332.6159408921
2198,86.4293975676,142.2020004467,39.6856847779,58.8597670384,334.5552494524
2199,86.4896589687,143.2337374333,40.0004561426,59.0383425138,336.4827947655
2200,86.5484041939,144.2652931243,40.3173679516,59.2153521378,338.3985233927
2201,86.6056720388,145.2966196537,40.6364296682,59.3908039732,340.3023850775
2202,86.6615002786,146.3276693413,40.9576508484,59.5647061642,342.1943327004
2203,86.7159256958,147.3583947064,41.2810411384,59.7370669334,344.0743222328
