,rcp26,rcp45,rcp60,rcp85
1940,0.064194375,0.064194375,0.064194375,0.064194375
1941,0.050019375,0.050019375,0.050019375,0.050019375
1942,0.030625,0.030625,0.030625,0.030625
1943,0.013610625,0.013610625,0.013610625,0.013610625
1944,0.021004375,0.021004375,0.021004375,0.021004375
1945,0.049966875,0.049966875,0.049966875,0.049966875
1946,0.080705625,0.080705625,0.080705625,0.080705625
1947,0.11165437,0.11165437,0.11165437,0.11165437
1948,0.12945625,0.12945625,0.12945625,0.12945625
1949,0.11637937,0.11637937,0.11637937,0.11637937
1950,0.0807275,0.0807275,0.0807275,0.0807275
1951,0.049030625,0.049030625,0.049030625,0.049030625
1952,0.031810625,0.031810625,0.031810625,0.031810625
1953,0.02046625,0.02046625,0.02046625,0.02046625
1954,0.022115625,0.022115625,0.022115625,0.022115625
1955,0.057264375,0.057264375,0.057264375,0.057264375
1956,0.12487125,0.12487125,0.12487125,0.12487125
1957,0.17792687,0.17792687,0.17792687,0.17792687
1958,0.17952812,0.17952812,0.17952812,0.17952812
1959,0.15146687,0.15146687,0.15146687,0.15146687
1960,0.11563562,0.11563562,0.11563562,0.11563562
1961,0.072270625,0.072270625,0.072270625,0.072270625
1962,0.039375,0.039375,0.039375,0.039375
1963,0.02737,0.02737,0.02737,0.02737
1964,0.02680125,0.02680125,0.02680125,0.02680125
1965,0.03808875,0.03808875,0.03808875,0.03808875
1966,0.06435625,0.06435625,0.06435625,0.06435625
1967,0.09177875,0.09177875,0.09177875,0.09177875
1968,0.10839937,0.10839937,0.10839937,0.10839937
1969,0.1176525,0.1176525,0.1176525,0.1176525
1970,0.10840375,0.10840375,0.10840375,0.10840375
1971,0.087416875,0.087416875,0.087416875,0.087416875
1972,0.072148125,0.072148125,0.072148125,0.072148125
1973,0.05096,0.05096,0.05096,0.05096
1974,0.0251475,0.0251475,0.0251475,0.0251475
1975,0.0099925,0.0099925,0.0099925,0.0099925
1976,0.0194775,0.0194775,0.0194775,0.0194775
1977,0.0600775,0.0600775,0.0600775,0.0600775
1978,0.12268812,0.12268812,0.12268812,0.12268812
1979,0.17410312,0.17410312,0.17410312,0.17410312
1980,0.19308187,0.19308187,0.19308187,0.19308187
1981,0.17986937,0.17986937,0.17986937,0.17986937
1982,0.14232312,0.14232312,0.14232312,0.14232312
1983,0.09982,0.09982,0.09982,0.09982
1984,0.0546175,0.0546175,0.0546175,0.0546175
1985,0.02268,0.02268,0.02268,0.02268
1986,0.021625625,0.021625625,0.021625625,0.021625625
1987,0.047569375,0.047569375,0.047569375,0.047569375
1988,0.1045625,0.1045625,0.1045625,0.1045625
1989,0.16269312,0.16269312,0.16269312,0.16269312
1990,0.17444,0.17444,0.17444,0.17444
1991,0.15460375,0.15460375,0.15460375,0.15460375
1992,0.12536562,0.12536562,0.12536562,0.12536562
1993,0.08502375,0.08502375,0.08502375,0.08502375
1994,0.04853625,0.04853625,0.04853625,0.04853625
1995,0.02604875,0.02604875,0.02604875,0.02604875
1996,0.019718125,0.019718125,0.019718125,0.019718125
1997,0.04291875,0.04291875,0.04291875,0.04291875
