"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1897,-0.055757318,-0.044391606,-0.0041105336,-0.042675433,-0.015689094,-0.025639837,0.053946414,0.06862094
1898,-0.057818038,-0.044259942,-0.0042561281,-0.04292385,-0.016744426,-0.025730534,0.058670881,0.068846883
1899,-0.060041231,-0.044244502,-0.0044090747,-0.043210367,-0.01762761,-0.025820762,0.060801681,0.069071489
1900,-0.062528809,-0.044074332,-0.0045947165,-0.043437376,-0.018295413,-0.025795315,0.063765684,0.068968234
1901,-0.064884686,-0.043536376,-0.0048181342,-0.0436266,-0.019099833,-0.029279723,0.066401136,0.078405753
1902,-0.067599708,-0.043274212,-0.0050563556,-0.043879063,-0.018991189,-0.029412953,0.066231528,0.078673569
1903,-0.070567559,-0.043188077,-0.0053070876,-0.044175027,-0.019972096,-0.030679362,0.066170014,0.082185165
1904,-0.073684469,-0.043196327,-0.0055677601,-0.044496045,-0.019683122,-0.031778885,0.06786964,0.085230438
1905,-0.076848936,-0.043231622,-0.0058355457,-0.044824869,-0.020276946,-0.03281687,0.06853146,0.088107845
1906,-0.079961469,-0.043238024,-0.0061073779,-0.045145372,-0.021515684,-0.034085921,0.071703022,0.091656303
1907,-0.082924361,-0.043168749,-0.0063799679,-0.045442468,-0.02283541,-0.03432869,0.072581348,0.092287323
1908,-0.085641491,-0.042984425,-0.0066498199,-0.045702042,-0.021680035,-0.034583741,0.078469353,0.092956243
1909,-0.088018137,-0.042651715,-0.0069132453,-0.045910891,-0.021764676,-0.034749677,0.078666261,0.093374387
1910,-0.089949328,-0.042223367,-0.0071719218,-0.046029689,-0.02270826,-0.034850636,0.079773962,0.093609008
1911,-0.091527348,-0.041714669,-0.007426704,-0.04605873,-0.0227467,-0.033111684,0.081762652,0.087983372
1912,-0.092937382,-0.041119534,-0.007675944,-0.046043705,-0.023310598,-0.03149824,0.084060825,0.083253446
1913,-0.094214051,-0.040460046,-0.0079213996,-0.045994745,-0.024291373,-0.03014977,0.083781752,0.079304309
1914,-0.095391295,-0.039755868,-0.0081649727,-0.045921298,-0.021755127,-0.02964813,0.083152297,0.077783714
1915,-0.09650247,-0.039024456,-0.0084087049,-0.045832158,-0.020707028,-0.028942324,0.08046882,0.075692122
1916,-0.097580426,-0.038281243,-0.0086547721,-0.045735481,-0.021501774,-0.028855557,0.07884659,0.075384949
1917,-0.098657576,-0.037539803,-0.00890548,-0.04563881,-0.022201719,-0.028762371,0.078463838,0.075065369
1918,-0.099765957,-0.036812001,-0.0091632593,-0.045549095,-0.021447457,-0.028735996,0.076408965,0.074941868
1919,-0.10093728,-0.036108117,-0.0094306618,-0.04547271,-0.018718075,-0.028957085,0.077153199,0.075525833
